,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Binh Chanh District,10.679220000000043,106.57654000000008,Kedai Sarah,10.688974,106.574965,Women's Store
1,Binh Chanh District,10.679220000000043,106.57654000000008,Lò Bánh Mì Vạn Hoà,10.665981937692921,106.57085737034872,Bakery
2,Binh Chanh District,10.679220000000043,106.57654000000008,Xí Nghiep Sx Hang Thu Cong My Nghe 27-7,10.6834140425069,106.56230581829504,Arts & Crafts Store
3,Binh Chanh District,10.679220000000043,106.57654000000008,National Road 1A,10.683168285437281,106.56155196301398,Bus Station
4,Binh Chanh District,10.679220000000043,106.57654000000008,Ốc chị Lượm,10.66373,106.570333,Seafood Restaurant
5,Binh Chanh District,10.679220000000043,106.57654000000008,Quán Sáu Thoảng,10.662458,106.572261,Diner
6,Binh Chanh District,10.679220000000043,106.57654000000008,Tu Viện Tường Vân,10.694621,106.584989,Tourist Information Center
7,Binh Tan District,10.73684000000003,106.61448000000007,AEON Mall Bình Tân,10.742903844867119,106.61183588805162,Shopping Mall
8,Binh Tan District,10.73684000000003,106.61448000000007,"547 kinh duong vuong, binh tan",10.735678379793118,106.61415993691114,Fabric Shop
9,Binh Tan District,10.73684000000003,106.61448000000007,CGV Cinemas AEON Bình Tân,10.74299787265677,106.61274111020622,Multiplex
10,Binh Tan District,10.73684000000003,106.61448000000007,Co.opMart,10.753321170078076,106.61340087462389,Shopping Mall
11,Binh Tan District,10.73684000000003,106.61448000000007,Coffee Bui Van Ngo,10.751648,106.612534,Café
12,Binh Tan District,10.73684000000003,106.61448000000007,Mocca Coffee Lounge,10.74852931241703,106.61636249717681,Coffee Shop
13,Binh Tan District,10.73684000000003,106.61448000000007,Phúc Long Coffee & Tea House,10.74336439289612,106.61242246627808,Coffee Shop
14,Binh Tan District,10.73684000000003,106.61448000000007,Carina Plaza,10.729874833075469,106.62286542034266,Residential Building (Apartment / Condo)
15,Binh Tan District,10.73684000000003,106.61448000000007,KOI Thé AEON Mall Bình Tân,10.743680616158938,106.61252975463867,Bubble Tea Shop
16,Binh Tan District,10.73684000000003,106.61448000000007,KFC Big C,10.730507503641586,106.6047374857195,American Restaurant
17,Binh Tan District,10.73684000000003,106.61448000000007,Sandwich LAND An LAC,10.73046155676639,106.60470363838503,Sandwich Place
18,Binh Tan District,10.73684000000003,106.61448000000007,Big C An Lạc,10.730442164064485,106.60468679949234,Department Store
19,Binh Tan District,10.73684000000003,106.61448000000007,Bún bò Huế NGON RỨA HÈ,10.751810918129793,106.61451242485373,Vietnamese Restaurant
20,Binh Tan District,10.73684000000003,106.61448000000007,Quán Mai Ghé Nữa,10.751889,106.616748,Food Court
21,Binh Tan District,10.73684000000003,106.61448000000007,Metro Bình Phú,10.74229524631494,106.6311391131544,Supermarket
22,Binh Tan District,10.73684000000003,106.61448000000007,Cafe Lucky,10.721371113640147,106.61741923893779,Café
23,Binh Thanh District,10.810520000000054,106.70505000000009,Vietnam Bike Tours®,10.802429141752336,106.70958280563354,Travel Agency
24,Binh Thanh District,10.810520000000054,106.70505000000009,Pho Phu Huong Co La,10.803738605162996,106.70097123439984,Asian Restaurant
25,Binh Thanh District,10.810520000000054,106.70505000000009,The Coffee House,10.801533389808522,106.71404017323825,Café
26,Binh Thanh District,10.810520000000054,106.70505000000009,Juliet's Garden,10.80640697479248,106.69640350341797,Coffee Shop
27,Binh Thanh District,10.810520000000054,106.70505000000009,3 con soc bbq & sushi,10.8051,106.6979,BBQ Joint
28,Binh Thanh District,10.810520000000054,106.70505000000009,Cháo Vịt Gốc Nhà Lá,10.816427104085777,106.71980414385891,Vietnamese Restaurant
29,Binh Thanh District,10.810520000000054,106.70505000000009,CGV Cinemas Pearl Plaza,10.800174868722506,106.71838862895318,Multiplex
30,Binh Thanh District,10.810520000000054,106.70505000000009,Ốc Mắm Sữa,10.800477905747208,106.70041480159135,Seafood Restaurant
31,Binh Thanh District,10.810520000000054,106.70505000000009,Cháo Vịt Thanh Đa - Quán Nhà Lá,10.816508754000644,106.71970137139914,Asian Restaurant
32,Binh Thanh District,10.810520000000054,106.70505000000009,Bit Tet TiTi French Restaurant,10.795784806420846,106.69485145874025,French Restaurant
33,Binh Thanh District,10.810520000000054,106.70505000000009,Starbucks,10.800063938359878,106.71834645994551,Coffee Shop
34,Binh Thanh District,10.810520000000054,106.70505000000009,Maisen Bistro,10.793223427838624,106.7092485087629,German Restaurant
35,Binh Thanh District,10.810520000000054,106.70505000000009,CGV Cinemas Saigonres Nguyễn Xí,10.81657760347486,106.70727260160342,Multiplex
36,Binh Thanh District,10.810520000000054,106.70505000000009,E-Mart Go Vap,10.823177238329272,106.69327784276237,Shopping Mall
37,Binh Thanh District,10.810520000000054,106.70505000000009,Văn Thánh park,10.79815092815693,106.7157499831454,Park
